sample.id,parent,block,phenotype,individual,lineage
B5_Q_M,F,2,high,M,A
B5_D_M,M,2,high,M,A
B5_Q_N,F,2,high,N,A
B5_D_N,M,2,high,N,A
B5_Q_O,F,2,high,O,A
B5_D_O,M,2,high,O,A
B5_Q_P,F,2,poor,P,A
B5_D_P,M,2,poor,P,A
B5_Q_Q,F,2,poor,Q,A
B5_D_Q,M,2,poor,Q,A
B5_Q_R,F,2,poor,R,A
B5_D_R,M,2,poor,R,A
B96_D_S,M,2,high,S,B
B96_Q_S,F,2,high,S,B
B96_D_T,M,2,high,T,B
B96_Q_T,F,2,high,T,B
B96_D_U,M,2,high,U,B
B96_Q_U,F,2,high,U,B
B96_D_V,M,2,poor,V,B
B96_Q_V,F,2,poor,V,B
B96_D_W,M,2,poor,W,B
B96_Q_W,F,2,poor,W,B
B96_D_X,M,2,poor,X,B
B96_Q_X,F,2,poor,X,B
